student_code,name,administrative_class_code
S0001,学生0001,AC01
S0002,学生0002,AC01
S0003,学生0003,AC01
S0004,学生0004,AC01
S0005,学生0005,AC01
S0006,学生0006,AC01
S0007,学生0007,AC01
S0008,学生0008,AC01
S0009,学生0009,AC01
S0010,学生0010,AC01
S0011,学生0011,AC01
S0012,学生0012,AC01
S0013,学生0013,AC01
S0014,学生0014,AC01
S0015,学生0015,AC01
S0016,学生0016,AC01
S0017,学生0017,AC01
S0018,学生0018,AC01
S0019,学生0019,AC01
S0020,学生0020,AC01
S0021,学生0021,AC01
S0022,学生0022,AC01
S0023,学生0023,AC01
S0024,学生0024,AC01
S0025,学生0025,AC01
S0026,学生0026,AC01
S0027,学生0027,AC01
S0028,学生0028,AC01
S0029,学生0029,AC01
S0030,学生0030,AC01
S0031,学生0031,AC01
S0032,学生0032,AC01
S0033,学生0033,AC01
S0034,学生0034,AC01
S0035,学生0035,AC01
S0036,学生0036,AC01
S0037,学生0037,AC01
S0038,学生0038,AC01
S0039,学生0039,AC01
S0040,学生0040,AC01
S0041,学生0041,AC02
S0042,学生0042,AC02
S0043,学生0043,AC02
S0044,学生0044,AC02
S0045,学生0045,AC02
S0046,学生0046,AC02
S0047,学生0047,AC02
S0048,学生0048,AC02
S0049,学生0049,AC02
S0050,学生0050,AC02
S0051,学生0051,AC02
S0052,学生0052,AC02
S0053,学生0053,AC02
S0054,学生0054,AC02
S0055,学生0055,AC02
S0056,学生0056,AC02
S0057,学生0057,AC02
S0058,学生0058,AC02
S0059,学生0059,AC02
S0060,学生0060,AC02
S0061,学生0061,AC02
S0062,学生0062,AC02
S0063,学生0063,AC02
S0064,学生0064,AC02
S0065,学生0065,AC02
S0066,学生0066,AC02
S0067,学生0067,AC02
S0068,学生0068,AC02
S0069,学生0069,AC02
S0070,学生0070,AC02
S0071,学生0071,AC02
S0072,学生0072,AC02
S0073,学生0073,AC02
S0074,学生0074,AC02
S0075,学生0075,AC02
S0076,学生0076,AC02
S0077,学生0077,AC02
S0078,学生0078,AC02
S0079,学生0079,AC02
S0080,学生0080,AC02
S0081,学生0081,AC03
S0082,学生0082,AC03
S0083,学生0083,AC03
S0084,学生0084,AC03
S0085,学生0085,AC03
S0086,学生0086,AC03
S0087,学生0087,AC03
S0088,学生0088,AC03
S0089,学生0089,AC03
S0090,学生0090,AC03
S0091,学生0091,AC03
S0092,学生0092,AC03
S0093,学生0093,AC03
S0094,学生0094,AC03
S0095,学生0095,AC03
S0096,学生0096,AC03
S0097,学生0097,AC03
S0098,学生0098,AC03
S0099,学生0099,AC03
S0100,学生0100,AC03
S0101,学生0101,AC03
S0102,学生0102,AC03
S0103,学生0103,AC03
S0104,学生0104,AC03
S0105,学生0105,AC03
S0106,学生0106,AC03
S0107,学生0107,AC03
S0108,学生0108,AC03
S0109,学生0109,AC03
S0110,学生0110,AC03
S0111,学生0111,AC03
S0112,学生0112,AC03
S0113,学生0113,AC03
S0114,学生0114,AC03
S0115,学生0115,AC03
S0116,学生0116,AC03
S0117,学生0117,AC03
S0118,学生0118,AC03
S0119,学生0119,AC03
S0120,学生0120,AC03
S0121,学生0121,AC04
S0122,学生0122,AC04
S0123,学生0123,AC04
S0124,学生0124,AC04
S0125,学生0125,AC04
S0126,学生0126,AC04
S0127,学生0127,AC04
S0128,学生0128,AC04
S0129,学生0129,AC04
S0130,学生0130,AC04
S0131,学生0131,AC04
S0132,学生0132,AC04
S0133,学生0133,AC04
S0134,学生0134,AC04
S0135,学生0135,AC04
S0136,学生0136,AC04
S0137,学生0137,AC04
S0138,学生0138,AC04
S0139,学生0139,AC04
S0140,学生0140,AC04
S0141,学生0141,AC04
S0142,学生0142,AC04
S0143,学生0143,AC04
S0144,学生0144,AC04
S0145,学生0145,AC04
S0146,学生0146,AC04
S0147,学生0147,AC04
S0148,学生0148,AC04
S0149,学生0149,AC04
S0150,学生0150,AC04
S0151,学生0151,AC04
S0152,学生0152,AC04
S0153,学生0153,AC04
S0154,学生0154,AC04
S0155,学生0155,AC04
S0156,学生0156,AC04
S0157,学生0157,AC04
S0158,学生0158,AC04
S0159,学生0159,AC04
S0160,学生0160,AC04
S0161,学生0161,AC05
S0162,学生0162,AC05
S0163,学生0163,AC05
S0164,学生0164,AC05
S0165,学生0165,AC05
S0166,学生0166,AC05
S0167,学生0167,AC05
S0168,学生0168,AC05
S0169,学生0169,AC05
S0170,学生0170,AC05
S0171,学生0171,AC05
S0172,学生0172,AC05
S0173,学生0173,AC05
S0174,学生0174,AC05
S0175,学生0175,AC05
S0176,学生0176,AC05
S0177,学生0177,AC05
S0178,学生0178,AC05
S0179,学生0179,AC05
S0180,学生0180,AC05
S0181,学生0181,AC05
S0182,学生0182,AC05
S0183,学生0183,AC05
S0184,学生0184,AC05
S0185,学生0185,AC05
S0186,学生0186,AC05
S0187,学生0187,AC05
S0188,学生0188,AC05
S0189,学生0189,AC05
S0190,学生0190,AC05
S0191,学生0191,AC05
S0192,学生0192,AC05
S0193,学生0193,AC05
S0194,学生0194,AC05
S0195,学生0195,AC05
S0196,学生0196,AC05
S0197,学生0197,AC05
S0198,学生0198,AC05
S0199,学生0199,AC05
S0200,学生0200,AC05
S0201,学生0201,AC06
S0202,学生0202,AC06
S0203,学生0203,AC06
S0204,学生0204,AC06
S0205,学生0205,AC06
S0206,学生0206,AC06
S0207,学生0207,AC06
S0208,学生0208,AC06
S0209,学生0209,AC06
S0210,学生0210,AC06
S0211,学生0211,AC06
S0212,学生0212,AC06
S0213,学生0213,AC06
S0214,学生0214,AC06
S0215,学生0215,AC06
S0216,学生0216,AC06
S0217,学生0217,AC06
S0218,学生0218,AC06
S0219,学生0219,AC06
S0220,学生0220,AC06
S0221,学生0221,AC06
S0222,学生0222,AC06
S0223,学生0223,AC06
S0224,学生0224,AC06
S0225,学生0225,AC06
S0226,学生0226,AC06
S0227,学生0227,AC06
S0228,学生0228,AC06
S0229,学生0229,AC06
S0230,学生0230,AC06
S0231,学生0231,AC06
S0232,学生0232,AC06
S0233,学生0233,AC06
S0234,学生0234,AC06
S0235,学生0235,AC06
S0236,学生0236,AC06
S0237,学生0237,AC06
S0238,学生0238,AC06
S0239,学生0239,AC06
S0240,学生0240,AC06
S0241,学生0241,AC07
S0242,学生0242,AC07
S0243,学生0243,AC07
S0244,学生0244,AC07
S0245,学生0245,AC07
S0246,学生0246,AC07
S0247,学生0247,AC07
S0248,学生0248,AC07
S0249,学生0249,AC07
S0250,学生0250,AC07
S0251,学生0251,AC07
S0252,学生0252,AC07
S0253,学生0253,AC07
S0254,学生0254,AC07
S0255,学生0255,AC07
S0256,学生0256,AC07
S0257,学生0257,AC07
S0258,学生0258,AC07
S0259,学生0259,AC07
S0260,学生0260,AC07
S0261,学生0261,AC07
S0262,学生0262,AC07
S0263,学生0263,AC07
S0264,学生0264,AC07
S0265,学生0265,AC07
S0266,学生0266,AC07
S0267,学生0267,AC07
S0268,学生0268,AC07
S0269,学生0269,AC07
S0270,学生0270,AC07
S0271,学生0271,AC07
S0272,学生0272,AC07
S0273,学生0273,AC07
S0274,学生0274,AC07
S0275,学生0275,AC07
S0276,学生0276,AC07
S0277,学生0277,AC07
S0278,学生0278,AC07
S0279,学生0279,AC07
S0280,学生0280,AC07
S0281,学生0281,AC08
S0282,学生0282,AC08
S0283,学生0283,AC08
S0284,学生0284,AC08
S0285,学生0285,AC08
S0286,学生0286,AC08
S0287,学生0287,AC08
S0288,学生0288,AC08
S0289,学生0289,AC08
S0290,学生0290,AC08
S0291,学生0291,AC08
S0292,学生0292,AC08
S0293,学生0293,AC08
S0294,学生0294,AC08
S0295,学生0295,AC08
S0296,学生0296,AC08
S0297,学生0297,AC08
S0298,学生0298,AC08
S0299,学生0299,AC08
S0300,学生0300,AC08
S0301,学生0301,AC08
S0302,学生0302,AC08
S0303,学生0303,AC08
S0304,学生0304,AC08
S0305,学生0305,AC08
S0306,学生0306,AC08
S0307,学生0307,AC08
S0308,学生0308,AC08
S0309,学生0309,AC08
S0310,学生0310,AC08
S0311,学生0311,AC08
S0312,学生0312,AC08
S0313,学生0313,AC08
S0314,学生0314,AC08
S0315,学生0315,AC08
S0316,学生0316,AC08
S0317,学生0317,AC08
S0318,学生0318,AC08
S0319,学生0319,AC08
S0320,学生0320,AC08
S0321,学生0321,AC09
S0322,学生0322,AC09
S0323,学生0323,AC09
S0324,学生0324,AC09
S0325,学生0325,AC09
S0326,学生0326,AC09
S0327,学生0327,AC09
S0328,学生0328,AC09
S0329,学生0329,AC09
S0330,学生0330,AC09
S0331,学生0331,AC09
S0332,学生0332,AC09
S0333,学生0333,AC09
S0334,学生0334,AC09
S0335,学生0335,AC09
S0336,学生0336,AC09
S0337,学生0337,AC09
S0338,学生0338,AC09
S0339,学生0339,AC09
S0340,学生0340,AC09
S0341,学生0341,AC09
S0342,学生0342,AC09
S0343,学生0343,AC09
S0344,学生0344,AC09
S0345,学生0345,AC09
S0346,学生0346,AC09
S0347,学生0347,AC09
S0348,学生0348,AC09
S0349,学生0349,AC09
S0350,学生0350,AC09
S0351,学生0351,AC09
S0352,学生0352,AC09
S0353,学生0353,AC09
S0354,学生0354,AC09
S0355,学生0355,AC09
S0356,学生0356,AC09
S0357,学生0357,AC09
S0358,学生0358,AC09
S0359,学生0359,AC09
S0360,学生0360,AC09
S0361,学生0361,AC10
S0362,学生0362,AC10
S0363,学生0363,AC10
S0364,学生0364,AC10
S0365,学生0365,AC10
S0366,学生0366,AC10
S0367,学生0367,AC10
S0368,学生0368,AC10
S0369,学生0369,AC10
S0370,学生0370,AC10
S0371,学生0371,AC10
S0372,学生0372,AC10
S0373,学生0373,AC10
S0374,学生0374,AC10
S0375,学生0375,AC10
S0376,学生0376,AC10
S0377,学生0377,AC10
S0378,学生0378,AC10
S0379,学生0379,AC10
S0380,学生0380,AC10
S0381,学生0381,AC10
S0382,学生0382,AC10
S0383,学生0383,AC10
S0384,学生0384,AC10
S0385,学生0385,AC10
S0386,学生0386,AC10
S0387,学生0387,AC10
S0388,学生0388,AC10
S0389,学生0389,AC10
S0390,学生0390,AC10
S0391,学生0391,AC10
S0392,学生0392,AC10
S0393,学生0393,AC10
S0394,学生0394,AC10
S0395,学生0395,AC10
S0396,学生0396,AC10
S0397,学生0397,AC10
S0398,学生0398,AC10
S0399,学生0399,AC10
S0400,学生0400,AC10
S0401,学生0401,AC11
S0402,学生0402,AC11
S0403,学生0403,AC11
S0404,学生0404,AC11
S0405,学生0405,AC11
S0406,学生0406,AC11
S0407,学生0407,AC11
S0408,学生0408,AC11
S0409,学生0409,AC11
S0410,学生0410,AC11
S0411,学生0411,AC11
S0412,学生0412,AC11
S0413,学生0413,AC11
S0414,学生0414,AC11
S0415,学生0415,AC11
S0416,学生0416,AC11
S0417,学生0417,AC11
S0418,学生0418,AC11
S0419,学生0419,AC11
S0420,学生0420,AC11
S0421,学生0421,AC11
S0422,学生0422,AC11
S0423,学生0423,AC11
S0424,学生0424,AC11
S0425,学生0425,AC11
S0426,学生0426,AC11
S0427,学生0427,AC11
S0428,学生0428,AC11
S0429,学生0429,AC11
S0430,学生0430,AC11
S0431,学生0431,AC11
S0432,学生0432,AC11
